code,date,close,recent_breakout_count_120d,trailing_return_pct,trade_outcome,days_to_outcome,outcome_return_pct
90720,2025-11-04,3461.0,0.0,2.0252421485177576,timeout_win,20.0,4.131753828373302
45780,2025-11-04,8599.0,0.0,1.9727228446176328,timeout_win,20.0,5.175020351203628
90750,2025-11-04,3850.0,0.0,5.082417582417582,timeout_win,20.0,5.844155844155844
72440,2025-11-04,481.0,0.0,7.79816513761468,timeout_loss,20.0,-1.4553014553014554
46130,2025-11-04,2442.0,0.0,2.869022869022869,timeout_loss,20.0,-3.7674037674037675
72800,2025-11-04,943.0,0.0,1.1827956989247312,timeout_loss,20.0,-2.651113467656416
68170,2025-11-04,1132.0,0.0,7.265774378585086,timeout_win,20.0,3.53356890459364
68100,2025-11-04,2214.0,0.0,7.747834456207892,timeout_loss,20.0,-0.31616982836495033
68090,2025-11-04,1313.0,0.0,3.013029315960912,take_profit,1.0,14.999999999999986
73840,2025-11-04,1755.0,0.0,2.303603071470762,timeout_loss,20.0,-2.792022792022792
67630,2025-11-04,2545.0,0.0,5.546075085324232,timeout_loss,20.0,-1.0216110019646365
67700,2025-11-04,2118.0,0.0,4.792676359719978,stop_loss,8.0,-7.999999999999992
73800,2025-11-04,5680.0,0.0,5.83804143126177,timeout_win,20.0,10.915492957746478
73500,2025-11-04,3865.0,0.0,3.0831099195710454,take_profit,15.0,15.0
95050,2025-11-04,862.2,0.0,2.0335354976810587,take_profit,14.0,14.999999999999991
23350,2025-11-04,1141.0,0.0,1.7132551848512172,timeout_loss,20.0,-6.134969325153374
72400,2025-11-04,2774.0,0.0,6.210098665118979,timeout_loss,20.0,-2.5414563806777215
95020,2025-11-04,2119.0,0.0,7.08936595107339,take_profit,15.0,14.999999999999996
67880,2025-11-04,4895.0,0.0,5.592105263157895,timeout_loss,20.0,-1.1235955056179776
73370,2025-11-04,1458.5,0.0,3.2998565279770444,timeout_win,20.0,3.873842989372643
73220,2025-11-04,3705.0,0.0,5.797101449275362,timeout_win,20.0,8.906882591093117
94700,2025-11-04,1029.0,0.0,1.1822660098522169,timeout_win,20.0,10.204081632653061
68040,2025-11-04,2432.0,0.0,4.545454545454546,timeout_win,20.0,6.907894736842106
21300,2025-11-04,1203.0,0.0,2.0202020202020203,stop_loss,12.0,-8.0
21460,2025-11-04,2742.0,0.0,1.2896094325718497,timeout_loss,20.0,-0.2552881108679796
73470,2025-11-04,850.0,0.0,4.41717791411043,timeout_win,20.0,2.3529411764705883
67580,2025-11-04,4295.0,0.0,5.3501945525291825,timeout_win,20.0,2.1653084982537836
46260,2025-11-04,8271.0,0.0,6.830530401034929,stop_loss,16.0,-7.999999999999992
46340,2025-11-04,3175.0,0.0,1.615508885298869,timeout_win,20.0,4.724409448818897
47430,2025-11-04,1536.0,0.0,3.389830508474576,timeout_win,20.0,6.770833333333333
93030,2025-11-04,3240.0,0.0,4.0,timeout_win,20.0,5.864197530864197
48280,2025-11-04,6270.0,0.0,3.2679738562091507,take_profit,9.0,14.999999999999986
48260,2025-11-04,559.0,0.0,3.010752688172043,stop_loss,5.0,-8.000000000000004
93100,2025-11-04,1131.0,0.0,1.771479185119575,timeout_loss,20.0,-3.4482758620689653
93640,2025-11-04,4668.0,0.0,2.1187375855219597,timeout_win,20.0,7.305055698371894
69950,2025-11-04,2849.0,0.0,7.217290621381705,timeout_win,20.0,4.457704457704457
22010,2025-11-04,2657.5,0.0,3.9131285462727448,timeout_loss,20.0,-1.6933207902163687
69970,2025-11-04,1572.0,0.0,3.377483443708609,stop_loss,1.0,-7.999999999999999
93240,2025-11-04,2170.0,0.0,7.372587827808016,timeout_win,20.0,1.3824884792626728
70880,2025-11-04,1256.0,0.0,1.0673234811165846,take_profit,5.0,14.999999999999988
71670,2025-11-04,967.3,0.0,5.413698630136984,timeout_win,20.0,4.72449085082188
48090,2025-11-04,1970.0,0.0,1.5897435897435899,timeout_win,20.0,0.8121827411167513
93360,2025-11-04,3420.0,0.0,4.573170731707317,timeout_win,20.0,5.701754385964912
71730,2025-11-04,7540.0,0.0,4.409672830725462,take_profit,18.0,15.0
69710,2025-11-04,2021.0,0.0,5.020491803278689,timeout_win,20.0,5.591291439881247
47330,2025-11-04,8636.0,0.0,3.6133270764899112,timeout_loss,20.0,-0.5094951366373321
69520,2025-11-04,1219.0,0.0,1.5533165407220824,timeout_win,20.0,5.701394585726005
92740,2025-11-04,772.0,0.0,1.0596026490066226,stop_loss,9.0,-7.999999999999999
91010,2025-11-04,5117.0,0.0,5.543456741239359,timeout_loss,20.0,-5.491498925151456
91070,2025-11-04,2128.5,0.0,6.3431042767900045,timeout_loss,20.0,-3.07728447263331
91100,2025-11-04,5760.0,0.0,6.782945736434108,timeout_win,20.0,3.4722222222222223
91190,2025-11-04,1255.0,0.0,7.712082262210797,timeout_win,20.0,10.517928286852591
46580,2025-11-04,1237.0,0.0,5.887096774193548,timeout_loss,20.0,-2.7485852869846403
69050,2025-11-04,1233.0,0.0,4.149026248941575,stop_loss,11.0,-7.999999999999989
22290,2025-11-04,2860.5,0.0,2.2840827980014278,timeout_win,20.0,2.5345219367243486
68590,2025-11-04,3505.0,0.0,3.687315634218289,stop_loss,11.0,-7.999999999999989
72390,2025-11-04,1984.0,0.0,1.924076963078523,timeout_win,20.0,1.310483870967742
46620,2025-11-04,1616.0,0.0,2.989821882951654,timeout_win,20.0,9.83910891089109
92020,2025-11-04,2947.5,0.0,4.033129276197335,timeout_loss,20.0,-1.5267175572519083
69230,2025-11-04,3162.0,0.0,1.8114726601811473,timeout_loss,20.0,-3.731815306767868
72310,2025-11-04,2879.0,0.0,1.7456359102244388,timeout_win,20.0,2.1187912469607504
22110,2025-11-04,2575.0,0.0,1.2137823022709475,timeout_win,20.0,2.1359223300970873
47320,2025-11-04,1695.5,0.0,1.36986301369863,timeout_win,20.0,1.091123562370982
69290,2025-11-04,3655.0,0.0,4.591104734576758,timeout_win,20.0,2.5991792065663475
72380,2025-11-04,117.0,0.0,4.545454545454546,stop_loss,11.0,-8.0
49680,2025-11-04,1125.0,0.0,5.293005671077505,timeout_loss,20.0,-0.7111111111111111
74560,2025-11-04,4235.0,0.0,1.4705882352941175,take_profit,15.0,15.0
90370,2025-11-04,1531.0,0.0,1.1228533685601056,timeout_win,20.0,8.164598301763554
66510,2025-11-04,3695.0,0.0,4.231311706629055,timeout_win,20.0,6.630581867388363
88600,2025-11-04,787.0,0.0,1.8633540372670807,timeout_win,20.0,0.3811944091486658
88770,2025-11-04,5550.0,0.0,3.0303030303030303,take_profit,14.0,14.999999999999982
19750,2025-11-04,3210.0,0.0,5.892255892255893,stop_loss,9.0,-7.999999999999992
88810,2025-11-04,602.0,0.0,2.0338983050847457,take_profit,4.0,14.999999999999991
75930,2025-11-04,492.0,0.0,1.4583333333333333,timeout_win,20.0,4.471544715447155
